ForallFormula(BoundVariable("elem_1", "<y>"), Constant("start", "<start>"), ExistsFormula(BoundVariable("elem_2", "<z>"), Constant("start", "<start>"), SMTFormula('(>= (str.to_int elem_1) (str.to_int elem_2))', BoundVariable("elem_1", "<y>"), BoundVariable("elem_2", "<z>"), )))
2,5,1
3,8,8
37,8,1
23,5,4
5,8,1
2,1,1
48,8,2
7,8,8
1,8,1
19,9,8
37,8,8
23,8,8
31,1,1
83,4,1
21,8,8
3,8,8
87,9,8
1,4,1
7,4,1
3,2,1
1,8,8
7,1,1
5,9,2
23,1,1
75,1,1
79,2,1
4,1,1
24,8,1
36,8,1
95,8,8
51,8,1
3,9,8
1,8,8
97,5,4
3,8,8
1,2,1
85,8,8
91,9,2
2,4,1
93,8,8
8,2,1
5,8,1
6,8,8
4,8,8
34,2,1
13,8,4
78,8,8
1,9,8
34,8,1
5,2,1
24,8,1
4,4,1
94,9,1
38,5,4
13,5,4
7,8,1
1,4,1
1,1,1
46,8,8
6,8,2
65,9,4
75,8,8
4,9,8
52,9,8
5,9,8
9,8,8
1,8,8
83,8,8
45,5,4
46,9,8
57,2,2
7,1,1
75,8,8
52,9,4
2,8,2
2,9,8
9,2,1
78,9,8
68,8,2
89,8,1
5,8,8
1,8,1
1,2,1
56,4,1
9,4,1
6,9,2
94,8,1
9,8,8
27,8,8
47,8,8
28,5,2
8,8,3
18,8,8
32,8,8
1,8,8
26,8,8
3,8,2
61,6,2
1,8,8
41,8,1
ForallFormula(BoundVariable("elem_1", "<y>"), Constant("start", "<start>"), ExistsFormula(BoundVariable("elem_2", "<z>"), Constant("start", "<start>"), SMTFormula('(>= (str.to_int elem_1) (str.to_int elem_2))', BoundVariable("elem_1", "<y>"), BoundVariable("elem_2", "<z>"), )))
5,8,1
6,8,8
81,3,2
2,8,1
25,8,8
9,1,1
2,1,1
64,5,2
42,8,1
96,1,1
42,9,8
1,4,4
3,4,2
8,9,8
6,9,8
6,6,4
87,5,2
92,2,1
87,8,2
96,6,2
74,9,8
28,9,8
73,8,8
15,8,8
24,8,8
75,4,1
24,8,8
56,8,8
85,5,2
7,8,3
6,8,8
5,8,1
46,8,8
48,5,4
5,9,8
3,2,2
9,8,1
6,9,8
6,8,8
87,8,2
