,Runtime,Precision,Recall,Constraint
0,0.081,-1,-1,Avicenna requires at least one passing input!
1,0.052,-1,-1,Avicenna requires at least one passing input!
2,0.052,-1,-1,Avicenna requires at least one passing input!
3,0.053,-1,-1,Avicenna requires at least one passing input!
4,0.052,-1,-1,Avicenna requires at least one passing input!
5,0.061,-1,-1,Avicenna requires at least one passing input!
6,0.055,-1,-1,Avicenna requires at least one passing input!
7,0.05,-1,-1,Avicenna requires at least one passing input!
8,0.05,-1,-1,Avicenna requires at least one passing input!
9,0.056,-1,-1,Avicenna requires at least one passing input!
