442,329,482
14569,5,67551263
5,5,7787
7,1,94
25214,5,752763
443,19,7879
91,9,423435
7,6,68
3,3,833
8,2,32
35,5,4957
3,1,57
49,2,854
3,1,5
294,31,45599
32,8,93
544,6,7973
4,4,6
6,3,756
7,7,2853
8,5,45
51,9,6451
94,3,1738
7,3,452251
8,3,74
4,2,11577
1,1,8
72,5,248
5,3,785
8,3,59
8,3,392
8,2,417
3,2,61
28,1,33
9,3,29
7,6,46
79,7,99785838
35,9,761329
7,5,8
979,64,4937
25,1,64
8,2,85
5,3,9
5,3,1416
5,5,38
2,1,32
1,1,3
113,58,1954
549,7,41229
358,5,448
7,5,739
7,1,89
8,6,98
3,3,9
4,1,5
3,2,39
637,2,23528211
95,3,114
8,6,49
85,3,764
8,8,52
31,8,165
6,6,45
4,4,9
4,1,92
7,7,89
1,1,113
8,7,379
6,5,59736
6,1,713
5,5,9
8,3,9
9,2,54231
81,8,691
5,3,6962
28,6,845
22,7,445
7,4,9
4,3,9
112,5,813
3,1,6
8,2,524
19,3,45
6,3,9
82,8,72632
7,7,894766
86,9,627195145
9,8,86
4,1,6
5,2,88
7,7,41
88,41,572
9,2,7849
9,6,78846
42,2,2262
63754,4,9526612947
9,9,9134
77,8,8725874
8,3,343
8,8,26
5,4,223672
8,5,713
6,5,242
92,5,691
65,8,86
9,4,15
81,26,88
79,43,9433597
8,3,673
7,2,57
11,6,18
4,1,1616
64,7,7677
67,41,86
8,1,691
244,8,367
7,2,41
13,4,74
6,4,16
3734,6,52896
13,4,753
5,1,633
8134,77,8886
3,1,7
8,5,73
24,9,269
7,6,86
7,5,9439
7,4,1752
61,32,437
7,6,26
9,8,66
7,4,26
2,2,983
5444,4,7187
39,5,97264
8,2,948
62,2,65
7,3,94
5,4,81
5,1,8
9,8,48163
119,1,265
3,3,616
9,5,65
2,1,3
788,3,894
9,8,46127
9,6,3875
15,4,278
4,2,175
49,24,794384911
9,4,18
562375,16,654593
97,7,182
248,32,436
36,5,7827
77,77,395
9,7,41
4,2,2595394
3,2,5
2,1,196
68,5,1925
7,5,8
8,5,954
3,1,39
4,3,722
9,2,12
4,1,76
12,1,5685
81,57,76757
