6,9,6
7,922,4
87,331,6
16,35126,161
6,522,6
5,4451,77
8,89,4
54,88,8
1,69,53
6,8,6
7,36379,8
14,7339,3
138,3643,5
9,19,5
6,862676,6158
1,885,6
3,7,2
7,68,51
7,8,6
1,73,2
8,3978,9
1,7,3
9,9937,29
7,7,4
597,4763,3
1,169,3
5,813,779
4,1593,96
64813,529135,75
6,8392,12
6,16,6
4,999,11
5,99695,1
8,23,6
38,55,7
9,615,34
2,7,5
47,95,5
1,3624,7
7,528,55
7,3222,6
47,34124,6
9,173,7
1,4947,6
4,86771,7
5,611,6
847,628364,363
3,9,5
66,4874,892
2,72,71
55,598,97
8,6966,9
6,97639882,2
7,999,8
4,27918194,1
5,143238,7
4,8,1
3,927,21
12,293,229
84,85,2
1,499,26
2,9665,38
35,42,3
2843939,393711539,353
9,63,4
2,8322,8
7,84,2
2,63,3
5,5799,3
7312,623714,78
2,37,11
3,4145,9
31,197,7
21,45,5
62,38718,6
6,417,55
38,58,4
2,43,8
8,63,8
443,14777,652
5,175,89
6,49,8
73,431,8
84,319,3
5,136,125
5,84,81
4361,4931,11
8,24,4
6,89,26
4,3831,372
1,982458978849,58
58,67973,8
5,2737,4
6,7,3
1,7932221,4
4,9,4
3,69948,692
4,4,4
9,1788,5
29,85,4
6,9,9
6,555391,9
8,8,1
8,55,3
7,7,2
2,399399,5
8,2573,649
9,67464,6
3,65,8
6,4244379,5642
9,68,1
6,41,14
8598956,534287963,19
7,8935,6
4,43,2
2,4865,994
8,737,717
6,53152,6223
7,31,4
46,55,5
7,91766616,92
1,74978,1
6,52,17
8,456515,8
25,3422,2
9,143,2
68,97911,11
5,5,3
23,33,6
67,284,2
1,659,49
3,46482,8
6,67,6
32,541,6
2,6,5
9,26,4
82,676,3
2,54,39
27,49,4
3,6,1
1,8,4
6,45124,1
6,788,8
2,184,38
3,885,1
8,76241,37
15,87,49
8,63,7
5,296,2
8,53,3
732,9222,93
1,734,61
8,8,7
51,472,9
7,386517,9
87,334,4
9,6284,9
88,949,5
9,725,8
593,579942,23
8,122,77
6,7,4
35,36,8
22,88,3
1,14274,94
6,4881,12
8,9,1
7,122,9
364,591,89
1,8,6
3,8631,79
1,58669874,39775
88,4417,1
9,6216,987
7,15,7
7,57,36
2,9236,88
6,75,7
5,66,12
55,45296,33993
25,486,6
5,52953,3431
69,6654279,1
88,99187,63
2,4,3
547,822,4
3,7,7
7,19578,525
5553,8382,89
9,7182,938
1,19,4
1,3781,35
1,7816,1
1,86,9
8,125,1
27,55,1
42,59,1
4,8,4
6,14,2
5,9,5
7,734,3
8,8,5
6,93,8
8,143,32
6,8,3
9,9,5
39,56,3
1,56471,241
8,631,2
529,4188,92
7,593,3
1,513,53
3,56,54
2,89,78
9,114,1
9,7815,3
189,466,1
2,227,4
6,215,8
5,285,9
9,37,4
7,8923,4
2,5,1
1,28,9
1,32,6
65,95,92
3,4576,24
6,354,6
8,7267,4
5,23,7
42,7464,9
5,88421,1
7,968,5
8,26,4
8,63223,9
744,61336,3
7,73,8
26,9741,6
5,6,3
3,441,3
3,77,2
7,132693,5
9,541,94
3,5448,6
1,617,1
33,68,9
7,17,3
24,53,6
7,876,9
23,73,49
46,84,5
9,177828,48
5,2928135294,2892
3,99,9
4,49,4
33,59,4
6,6245731,16275
516,46112,3
3,987827,551
92,151,7
332,423,5
2,4,2
6,8,2
3,18934,777
2,3,2
2,2,2
1,43,4
1,8,2
3,55,8
4,533,41
4,8,8
6,19,6
4,6111,5139
388,4726461,8
58,7579,3543
3,638,6
3,66,6
87594,96377111,14
69,88,7
469,928,6
2,7,4
46,292,7
4,58787,9
3,2346,1
129,6491685,8
4,424,35
7,129,8
962,1958,7
3,975,7
2,4,4
4,274,67
4,35,29
4,66995,45814
9,286,6
65,5925,3
28,68,56
4,5,5
9476,762296,8
56,9614,9
31,273,7
5,8,4
8,29,7
33,512,8
13,7425,77
17,476,66
58,995,8
543,831552,36
41,9892,589
36,76,8
1,61,5
52,768,2
4,4388,9
9,472,37
37,76,71
2,867,89
44,79,57
4,3561,3
7,63,11
29,319,3
1369,33621,46
3,86,8
72,985,3
1,57362,5
77,61677,2
2,58,4
8,49919,6
9,564,3
1,341249,5
8,746,3
6,19,7
3,7852,84
2,84,7
7,18,9
15,61,28
9,9,3
65,528569,88
3,7,5
1,634,4
73,81,9
2,81,26
65,862,95
