,Attempt,Runtime,Precision,Recall,Line,Constraint,Readable_Constraint
0,1,0.066,-1,-1,13,,Avicenna requires at least one passing input!
1,2,0.047,-1,-1,13,,Avicenna requires at least one passing input!
2,3,0.048,-1,-1,13,,Avicenna requires at least one passing input!
3,4,0.047,-1,-1,13,,Avicenna requires at least one passing input!
4,5,0.047,-1,-1,13,,Avicenna requires at least one passing input!
5,6,0.056,-1,-1,13,,Avicenna requires at least one passing input!
6,7,0.047,-1,-1,13,,Avicenna requires at least one passing input!
7,8,0.047,-1,-1,13,,Avicenna requires at least one passing input!
8,9,0.05,-1,-1,13,,Avicenna requires at least one passing input!
9,10,0.048,-1,-1,13,,Avicenna requires at least one passing input!
