,Attempt,Runtime,Precision,Recall,Line,Constraint,Readable_Constraint
0,1,52.178,1.0,1.0,9,"(exists <number> elem in start:
   (= elem ""0"") and
forall <arith_expr> container in start:
  exists <function> elem_0 in container:
    (= elem_0 ""sqrt""))","ConjunctiveFormula(ExistsFormula(BoundVariable(""elem"", ""<number>""), Constant(""start"", ""<start>""), SMTFormula('(= elem ""0"")', BoundVariable(""elem"", ""<number>""), )), ForallFormula(BoundVariable(""container"", ""<arith_expr>""), Constant(""start"", ""<start>""), ExistsFormula(BoundVariable(""elem_0"", ""<function>""), BoundVariable(""container"", ""<arith_expr>""), SMTFormula('(= elem_0 ""sqrt"")', BoundVariable(""elem_0"", ""<function>""), ))))"
1,2,53.634,1.0,1.0,9,"(exists <number> elem in start:
   (= elem ""0"") and
exists <function> elem_0 in start:
  (= elem_0 ""sqrt""))","ConjunctiveFormula(ExistsFormula(BoundVariable(""elem"", ""<number>""), Constant(""start"", ""<start>""), SMTFormula('(= elem ""0"")', BoundVariable(""elem"", ""<number>""), )), ExistsFormula(BoundVariable(""elem_0"", ""<function>""), Constant(""start"", ""<start>""), SMTFormula('(= elem_0 ""sqrt"")', BoundVariable(""elem_0"", ""<function>""), )))"
2,3,36.86,1.0,1.0,9,"(exists <number> elem in start:
   (= elem ""0"") and
forall <arith_expr> container in start:
  exists <function> elem_0 in container:
    (= elem_0 ""sqrt""))","ConjunctiveFormula(ExistsFormula(BoundVariable(""elem"", ""<number>""), Constant(""start"", ""<start>""), SMTFormula('(= elem ""0"")', BoundVariable(""elem"", ""<number>""), )), ForallFormula(BoundVariable(""container"", ""<arith_expr>""), Constant(""start"", ""<start>""), ExistsFormula(BoundVariable(""elem_0"", ""<function>""), BoundVariable(""container"", ""<arith_expr>""), SMTFormula('(= elem_0 ""sqrt"")', BoundVariable(""elem_0"", ""<function>""), ))))"
3,4,91.639,1.0,1.0,9,"(exists <number> elem in start:
   (= elem ""0"") and
forall <arith_expr> container in start:
  exists <function> elem_0 in container:
    (= elem_0 ""sqrt""))","ConjunctiveFormula(ExistsFormula(BoundVariable(""elem"", ""<number>""), Constant(""start"", ""<start>""), SMTFormula('(= elem ""0"")', BoundVariable(""elem"", ""<number>""), )), ForallFormula(BoundVariable(""container"", ""<arith_expr>""), Constant(""start"", ""<start>""), ExistsFormula(BoundVariable(""elem_0"", ""<function>""), BoundVariable(""container"", ""<arith_expr>""), SMTFormula('(= elem_0 ""sqrt"")', BoundVariable(""elem_0"", ""<function>""), ))))"
4,5,57.745,1.0,1.0,9,"(exists <number> elem in start:
   (= elem ""0"") and
exists <function> elem_0 in start:
  (= elem_0 ""sqrt""))","ConjunctiveFormula(ExistsFormula(BoundVariable(""elem"", ""<number>""), Constant(""start"", ""<start>""), SMTFormula('(= elem ""0"")', BoundVariable(""elem"", ""<number>""), )), ExistsFormula(BoundVariable(""elem_0"", ""<function>""), Constant(""start"", ""<start>""), SMTFormula('(= elem_0 ""sqrt"")', BoundVariable(""elem_0"", ""<function>""), )))"
5,6,43.47,1.0,1.0,9,"(exists <number> elem in start:
   (= elem ""0"") and
forall <arith_expr> container in start:
  exists <function> elem_0 in container:
    (= elem_0 ""sqrt""))","ConjunctiveFormula(ExistsFormula(BoundVariable(""elem"", ""<number>""), Constant(""start"", ""<start>""), SMTFormula('(= elem ""0"")', BoundVariable(""elem"", ""<number>""), )), ForallFormula(BoundVariable(""container"", ""<arith_expr>""), Constant(""start"", ""<start>""), ExistsFormula(BoundVariable(""elem_0"", ""<function>""), BoundVariable(""container"", ""<arith_expr>""), SMTFormula('(= elem_0 ""sqrt"")', BoundVariable(""elem_0"", ""<function>""), ))))"
6,7,45.294,1.0,1.0,9,"(exists <number> elem in start:
   (= elem ""0"") and
exists <function> elem_0 in start:
  (= elem_0 ""sqrt""))","ConjunctiveFormula(ExistsFormula(BoundVariable(""elem"", ""<number>""), Constant(""start"", ""<start>""), SMTFormula('(= elem ""0"")', BoundVariable(""elem"", ""<number>""), )), ExistsFormula(BoundVariable(""elem_0"", ""<function>""), Constant(""start"", ""<start>""), SMTFormula('(= elem_0 ""sqrt"")', BoundVariable(""elem_0"", ""<function>""), )))"
7,8,96.353,1.0,1.0,9,"(exists <number> elem in start:
   (= elem ""0"") and
forall <arith_expr> container in start:
  exists <function> elem_0 in container:
    (= elem_0 ""sqrt""))","ConjunctiveFormula(ExistsFormula(BoundVariable(""elem"", ""<number>""), Constant(""start"", ""<start>""), SMTFormula('(= elem ""0"")', BoundVariable(""elem"", ""<number>""), )), ForallFormula(BoundVariable(""container"", ""<arith_expr>""), Constant(""start"", ""<start>""), ExistsFormula(BoundVariable(""elem_0"", ""<function>""), BoundVariable(""container"", ""<arith_expr>""), SMTFormula('(= elem_0 ""sqrt"")', BoundVariable(""elem_0"", ""<function>""), ))))"
8,9,50.239,1.0,1.0,9,"(exists <number> elem in start:
   (= elem ""0"") and
forall <arith_expr> container in start:
  exists <function> elem_0 in container:
    (= elem_0 ""sqrt""))","ConjunctiveFormula(ExistsFormula(BoundVariable(""elem"", ""<number>""), Constant(""start"", ""<start>""), SMTFormula('(= elem ""0"")', BoundVariable(""elem"", ""<number>""), )), ForallFormula(BoundVariable(""container"", ""<arith_expr>""), Constant(""start"", ""<start>""), ExistsFormula(BoundVariable(""elem_0"", ""<function>""), BoundVariable(""container"", ""<arith_expr>""), SMTFormula('(= elem_0 ""sqrt"")', BoundVariable(""elem_0"", ""<function>""), ))))"
9,10,48.851,1.0,1.0,9,"(exists <number> elem in start:
   (= elem ""0"") and
forall <arith_expr> container in start:
  exists <function> elem_0 in container:
    (= elem_0 ""sqrt""))","ConjunctiveFormula(ExistsFormula(BoundVariable(""elem"", ""<number>""), Constant(""start"", ""<start>""), SMTFormula('(= elem ""0"")', BoundVariable(""elem"", ""<number>""), )), ForallFormula(BoundVariable(""container"", ""<arith_expr>""), Constant(""start"", ""<start>""), ExistsFormula(BoundVariable(""elem_0"", ""<function>""), BoundVariable(""container"", ""<arith_expr>""), SMTFormula('(= elem_0 ""sqrt"")', BoundVariable(""elem_0"", ""<function>""), ))))"
