,Attempt,Runtime,Precision,Recall,Line,Constraint,Readable_Constraint
0,1,0.07,-1,-1,4,,Avicenna requires at least one failure-inducing input!
1,2,0.08,-1,-1,4,,Avicenna requires at least one failure-inducing input!
2,3,0.064,-1,-1,4,,Avicenna requires at least one failure-inducing input!
3,4,0.066,-1,-1,4,,Avicenna requires at least one failure-inducing input!
4,5,0.077,-1,-1,4,,Avicenna requires at least one failure-inducing input!
5,6,0.08,-1,-1,4,,Avicenna requires at least one failure-inducing input!
6,7,0.078,-1,-1,4,,Avicenna requires at least one failure-inducing input!
7,8,0.081,-1,-1,4,,Avicenna requires at least one failure-inducing input!
8,9,0.069,-1,-1,4,,Avicenna requires at least one failure-inducing input!
9,10,0.104,-1,-1,4,,Avicenna requires at least one failure-inducing input!
