,Attempt,Runtime,Precision,Recall,Line,Constraint,Readable_Constraint
0,1,0.077,-1,-1,1,Avicenna requires at least one failure-inducing input!,No constraint has been found for min_precision 0.6 and min_recall 0.9.
1,2,0.05,-1,-1,1,Avicenna requires at least one failure-inducing input!,No constraint has been found for min_precision 0.6 and min_recall 0.9.
2,3,0.05,-1,-1,1,Avicenna requires at least one failure-inducing input!,No constraint has been found for min_precision 0.6 and min_recall 0.9.
3,4,0.049,-1,-1,1,Avicenna requires at least one failure-inducing input!,No constraint has been found for min_precision 0.6 and min_recall 0.9.
4,5,0.049,-1,-1,1,Avicenna requires at least one failure-inducing input!,No constraint has been found for min_precision 0.6 and min_recall 0.9.
5,6,0.049,-1,-1,1,Avicenna requires at least one failure-inducing input!,No constraint has been found for min_precision 0.6 and min_recall 0.9.
6,7,0.051,-1,-1,1,Avicenna requires at least one failure-inducing input!,No constraint has been found for min_precision 0.6 and min_recall 0.9.
7,8,0.05,-1,-1,1,Avicenna requires at least one failure-inducing input!,No constraint has been found for min_precision 0.6 and min_recall 0.9.
8,9,0.061,-1,-1,1,Avicenna requires at least one failure-inducing input!,No constraint has been found for min_precision 0.6 and min_recall 0.9.
9,10,0.057,-1,-1,1,Avicenna requires at least one failure-inducing input!,No constraint has been found for min_precision 0.6 and min_recall 0.9.
